position	page_id	cell_ordinal	cell_id	damage_class	level	lighting	sequence	q	payload_id	lineage	profile	template	master_path	master_sha256	scheduled_slot_1	scheduled_slot_2	scheduled_slot_3
037	P1-c06-S05-q00-T0-Rs72_60-R	06	coffee-3-S05	coffee	3	std	S05	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c06-S05-q00-T0-Rs72_60-R-A01	P1-c06-S05-q00-T0-Rs72_60-R-A02	P1-c06-S05-q00-T0-Rs72_60-R-A03
038	P1-c06-S05-q01-T0-Rs76_60-T	06	coffee-3-S05	coffee	3	std	S05	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c06-S05-q01-T0-Rs76_60-T-A01	P1-c06-S05-q01-T0-Rs76_60-T-A02	P1-c06-S05-q01-T0-Rs76_60-T-A03
039	P1-c06-S05-q02-T0-Rs80_60-R	06	coffee-3-S05	coffee	3	std	S05	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c06-S05-q02-T0-Rs80_60-R-A01	P1-c06-S05-q02-T0-Rs80_60-R-A02	P1-c06-S05-q02-T0-Rs80_60-R-A03
040	P1-c06-S05-q09-T3-Rs72_60-T	06	coffee-3-S05	coffee	3	std	S05	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c06-S05-q09-T3-Rs72_60-T-A01	P1-c06-S05-q09-T3-Rs72_60-T-A02	P1-c06-S05-q09-T3-Rs72_60-T-A03
041	P1-c06-S05-q10-T3-Rs76_60-R	06	coffee-3-S05	coffee	3	std	S05	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c06-S05-q10-T3-Rs76_60-R-A01	P1-c06-S05-q10-T3-Rs76_60-R-A02	P1-c06-S05-q10-T3-Rs76_60-R-A03
042	P1-c06-S05-q11-T3-Rs80_60-T	06	coffee-3-S05	coffee	3	std	S05	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c06-S05-q11-T3-Rs80_60-T-A01	P1-c06-S05-q11-T3-Rs80_60-T-A02	P1-c06-S05-q11-T3-Rs80_60-T-A03
043	P1-c07-S21-q00-T0-Rs72_60-T	07	crumple-1-S21	crumple	1	std	S21	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c07-S21-q00-T0-Rs72_60-T-A01	P1-c07-S21-q00-T0-Rs72_60-T-A02	P1-c07-S21-q00-T0-Rs72_60-T-A03
044	P1-c07-S21-q01-T0-Rs76_60-R	07	crumple-1-S21	crumple	1	std	S21	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c07-S21-q01-T0-Rs76_60-R-A01	P1-c07-S21-q01-T0-Rs76_60-R-A02	P1-c07-S21-q01-T0-Rs76_60-R-A03
045	P1-c07-S21-q02-T0-Rs80_60-T	07	crumple-1-S21	crumple	1	std	S21	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c07-S21-q02-T0-Rs80_60-T-A01	P1-c07-S21-q02-T0-Rs80_60-T-A02	P1-c07-S21-q02-T0-Rs80_60-T-A03
046	P1-c07-S21-q09-T3-Rs72_60-R	07	crumple-1-S21	crumple	1	std	S21	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c07-S21-q09-T3-Rs72_60-R-A01	P1-c07-S21-q09-T3-Rs72_60-R-A02	P1-c07-S21-q09-T3-Rs72_60-R-A03
047	P1-c07-S21-q10-T3-Rs76_60-T	07	crumple-1-S21	crumple	1	std	S21	10	T3-Rs76_60	T3	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-travel.pdf	3333208350f39a53f51d20d4d334b92cb03825f9cd8b7a48865518ea6c3ea993	P1-c07-S21-q10-T3-Rs76_60-T-A01	P1-c07-S21-q10-T3-Rs76_60-T-A02	P1-c07-S21-q10-T3-Rs76_60-T-A03
048	P1-c07-S21-q11-T3-Rs80_60-R	07	crumple-1-S21	crumple	1	std	S21	11	T3-Rs80_60	T3	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-recipe.pdf	0376cf6b06a9dad165fcc3f84c4bc1f19c7867dc4460707a79a7a4b535338ea5	P1-c07-S21-q11-T3-Rs80_60-R-A01	P1-c07-S21-q11-T3-Rs80_60-R-A02	P1-c07-S21-q11-T3-Rs80_60-R-A03
049	P1-c08-S22-q00-T0-Rs72_60-R	08	crumple-2-S22	crumple	2	std	S22	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c08-S22-q00-T0-Rs72_60-R-A01	P1-c08-S22-q00-T0-Rs72_60-R-A02	P1-c08-S22-q00-T0-Rs72_60-R-A03
050	P1-c08-S22-q01-T0-Rs76_60-T	08	crumple-2-S22	crumple	2	std	S22	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c08-S22-q01-T0-Rs76_60-T-A01	P1-c08-S22-q01-T0-Rs76_60-T-A02	P1-c08-S22-q01-T0-Rs76_60-T-A03
051	P1-c08-S22-q02-T0-Rs80_60-R	08	crumple-2-S22	crumple	2	std	S22	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c08-S22-q02-T0-Rs80_60-R-A01	P1-c08-S22-q02-T0-Rs80_60-R-A02	P1-c08-S22-q02-T0-Rs80_60-R-A03
052	P1-c08-S22-q09-T3-Rs72_60-T	08	crumple-2-S22	crumple	2	std	S22	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c08-S22-q09-T3-Rs72_60-T-A01	P1-c08-S22-q09-T3-Rs72_60-T-A02	P1-c08-S22-q09-T3-Rs72_60-T-A03
053	P1-c08-S22-q10-T3-Rs76_60-R	08	crumple-2-S22	crumple	2	std	S22	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c08-S22-q10-T3-Rs76_60-R-A01	P1-c08-S22-q10-T3-Rs76_60-R-A02	P1-c08-S22-q10-T3-Rs76_60-R-A03
054	P1-c08-S22-q11-T3-Rs80_60-T	08	crumple-2-S22	crumple	2	std	S22	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c08-S22-q11-T3-Rs80_60-T-A01	P1-c08-S22-q11-T3-Rs80_60-T-A02	P1-c08-S22-q11-T3-Rs80_60-T-A03
055	P1-c09-S23-q00-T0-Rs72_60-T	09	edge-1-S23	edge	1	std	S23	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c09-S23-q00-T0-Rs72_60-T-A01	P1-c09-S23-q00-T0-Rs72_60-T-A02	P1-c09-S23-q00-T0-Rs72_60-T-A03
056	P1-c09-S23-q01-T0-Rs76_60-R	09	edge-1-S23	edge	1	std	S23	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c09-S23-q01-T0-Rs76_60-R-A01	P1-c09-S23-q01-T0-Rs76_60-R-A02	P1-c09-S23-q01-T0-Rs76_60-R-A03
057	P1-c09-S23-q02-T0-Rs80_60-T	09	edge-1-S23	edge	1	std	S23	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c09-S23-q02-T0-Rs80_60-T-A01	P1-c09-S23-q02-T0-Rs80_60-T-A02	P1-c09-S23-q02-T0-Rs80_60-T-A03
058	P1-c09-S23-q09-T3-Rs72_60-R	09	edge-1-S23	edge	1	std	S23	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c09-S23-q09-T3-Rs72_60-R-A01	P1-c09-S23-q09-T3-Rs72_60-R-A02	P1-c09-S23-q09-T3-Rs72_60-R-A03
059	P1-c09-S23-q10-T3-Rs76_60-T	09	edge-1-S23	edge	1	std	S23	10	T3-Rs76_60	T3	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-travel.pdf	3333208350f39a53f51d20d4d334b92cb03825f9cd8b7a48865518ea6c3ea993	P1-c09-S23-q10-T3-Rs76_60-T-A01	P1-c09-S23-q10-T3-Rs76_60-T-A02	P1-c09-S23-q10-T3-Rs76_60-T-A03
060	P1-c09-S23-q11-T3-Rs80_60-R	09	edge-1-S23	edge	1	std	S23	11	T3-Rs80_60	T3	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-recipe.pdf	0376cf6b06a9dad165fcc3f84c4bc1f19c7867dc4460707a79a7a4b535338ea5	P1-c09-S23-q11-T3-Rs80_60-R-A01	P1-c09-S23-q11-T3-Rs80_60-R-A02	P1-c09-S23-q11-T3-Rs80_60-R-A03
061	P1-c10-S24-q00-T0-Rs72_60-R	10	edge-2-S24	edge	2	std	S24	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c10-S24-q00-T0-Rs72_60-R-A01	P1-c10-S24-q00-T0-Rs72_60-R-A02	P1-c10-S24-q00-T0-Rs72_60-R-A03
062	P1-c10-S24-q01-T0-Rs76_60-T	10	edge-2-S24	edge	2	std	S24	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c10-S24-q01-T0-Rs76_60-T-A01	P1-c10-S24-q01-T0-Rs76_60-T-A02	P1-c10-S24-q01-T0-Rs76_60-T-A03
063	P1-c10-S24-q02-T0-Rs80_60-R	10	edge-2-S24	edge	2	std	S24	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c10-S24-q02-T0-Rs80_60-R-A01	P1-c10-S24-q02-T0-Rs80_60-R-A02	P1-c10-S24-q02-T0-Rs80_60-R-A03
064	P1-c10-S24-q09-T3-Rs72_60-T	10	edge-2-S24	edge	2	std	S24	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c10-S24-q09-T3-Rs72_60-T-A01	P1-c10-S24-q09-T3-Rs72_60-T-A02	P1-c10-S24-q09-T3-Rs72_60-T-A03
065	P1-c10-S24-q10-T3-Rs76_60-R	10	edge-2-S24	edge	2	std	S24	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c10-S24-q10-T3-Rs76_60-R-A01	P1-c10-S24-q10-T3-Rs76_60-R-A02	P1-c10-S24-q10-T3-Rs76_60-R-A03
066	P1-c10-S24-q11-T3-Rs80_60-T	10	edge-2-S24	edge	2	std	S24	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c10-S24-q11-T3-Rs80_60-T-A01	P1-c10-S24-q11-T3-Rs80_60-T-A02	P1-c10-S24-q11-T3-Rs80_60-T-A03
067	P1-c11-S25-q00-T0-Rs72_60-T	11	edge-3-S25	edge	3	std	S25	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c11-S25-q00-T0-Rs72_60-T-A01	P1-c11-S25-q00-T0-Rs72_60-T-A02	P1-c11-S25-q00-T0-Rs72_60-T-A03
068	P1-c11-S25-q01-T0-Rs76_60-R	11	edge-3-S25	edge	3	std	S25	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c11-S25-q01-T0-Rs76_60-R-A01	P1-c11-S25-q01-T0-Rs76_60-R-A02	P1-c11-S25-q01-T0-Rs76_60-R-A03
069	P1-c11-S25-q02-T0-Rs80_60-T	11	edge-3-S25	edge	3	std	S25	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c11-S25-q02-T0-Rs80_60-T-A01	P1-c11-S25-q02-T0-Rs80_60-T-A02	P1-c11-S25-q02-T0-Rs80_60-T-A03
070	P1-c11-S25-q09-T3-Rs72_60-R	11	edge-3-S25	edge	3	std	S25	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c11-S25-q09-T3-Rs72_60-R-A01	P1-c11-S25-q09-T3-Rs72_60-R-A02	P1-c11-S25-q09-T3-Rs72_60-R-A03
071	P1-c11-S25-q10-T3-Rs76_60-T	11	edge-3-S25	edge	3	std	S25	10	T3-Rs76_60	T3	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-travel.pdf	3333208350f39a53f51d20d4d334b92cb03825f9cd8b7a48865518ea6c3ea993	P1-c11-S25-q10-T3-Rs76_60-T-A01	P1-c11-S25-q10-T3-Rs76_60-T-A02	P1-c11-S25-q10-T3-Rs76_60-T-A03
072	P1-c11-S25-q11-T3-Rs80_60-R	11	edge-3-S25	edge	3	std	S25	11	T3-Rs80_60	T3	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-recipe.pdf	0376cf6b06a9dad165fcc3f84c4bc1f19c7867dc4460707a79a7a4b535338ea5	P1-c11-S25-q11-T3-Rs80_60-R-A01	P1-c11-S25-q11-T3-Rs80_60-R-A02	P1-c11-S25-q11-T3-Rs80_60-R-A03
073	P1-c12-S12-q00-T0-Rs72_60-R	12	fade-1-S12	fade	1	std	S12	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c12-S12-q00-T0-Rs72_60-R-A01	P1-c12-S12-q00-T0-Rs72_60-R-A02	P1-c12-S12-q00-T0-Rs72_60-R-A03
074	P1-c12-S12-q01-T0-Rs76_60-T	12	fade-1-S12	fade	1	std	S12	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c12-S12-q01-T0-Rs76_60-T-A01	P1-c12-S12-q01-T0-Rs76_60-T-A02	P1-c12-S12-q01-T0-Rs76_60-T-A03
075	P1-c12-S12-q02-T0-Rs80_60-R	12	fade-1-S12	fade	1	std	S12	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c12-S12-q02-T0-Rs80_60-R-A01	P1-c12-S12-q02-T0-Rs80_60-R-A02	P1-c12-S12-q02-T0-Rs80_60-R-A03
076	P1-c12-S12-q09-T3-Rs72_60-T	12	fade-1-S12	fade	1	std	S12	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c12-S12-q09-T3-Rs72_60-T-A01	P1-c12-S12-q09-T3-Rs72_60-T-A02	P1-c12-S12-q09-T3-Rs72_60-T-A03
077	P1-c12-S12-q10-T3-Rs76_60-R	12	fade-1-S12	fade	1	std	S12	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c12-S12-q10-T3-Rs76_60-R-A01	P1-c12-S12-q10-T3-Rs76_60-R-A02	P1-c12-S12-q10-T3-Rs76_60-R-A03
078	P1-c12-S12-q11-T3-Rs80_60-T	12	fade-1-S12	fade	1	std	S12	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c12-S12-q11-T3-Rs80_60-T-A01	P1-c12-S12-q11-T3-Rs80_60-T-A02	P1-c12-S12-q11-T3-Rs80_60-T-A03
079	P1-c13-S13-q00-T0-Rs72_60-T	13	fade-2-S13	fade	2	std	S13	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c13-S13-q00-T0-Rs72_60-T-A01	P1-c13-S13-q00-T0-Rs72_60-T-A02	P1-c13-S13-q00-T0-Rs72_60-T-A03
080	P1-c13-S13-q01-T0-Rs76_60-R	13	fade-2-S13	fade	2	std	S13	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c13-S13-q01-T0-Rs76_60-R-A01	P1-c13-S13-q01-T0-Rs76_60-R-A02	P1-c13-S13-q01-T0-Rs76_60-R-A03
